Country,Financial closure year,total_projects,total_investment,resilient_projects,resilient_investment,resilient_share_count,resilient_share_value
India,2020,19,5079.16,9.0,1544.45,0.47368421052631576,0.3040758708132841
India,2021,24,7610.34,11.0,1876.74,0.4583333333333333,0.24660396250364636
India,2022,23,10692.900000000001,4.0,1421.26,0.17391304347826086,0.13291623413667011
India,2023,20,6049.75,9.0,4335.73,0.45,0.7166792016199016
India,2024,20,3601.89,18.0,2458.89,0.9,0.6826666000349816
Indonesia,2001,1,36.7,1.0,36.7,1.0,1.0
Indonesia,2002,3,192.79999999999998,2.0,5.2,0.6666666666666666,0.026970954356846478
Indonesia,2003,7,1061.5,0.0,0.0,0.0,0.0
Indonesia,2004,5,197.3,2.0,8.1,0.4,0.04105423213380638
Indonesia,2005,1,32.0,0.0,0.0,0.0,0.0
Indonesia,2006,8,817.7,2.0,284.6,0.25,0.3480494068729363
Indonesia,2007,4,518.6,1.0,0.0,0.25,0.0
Indonesia,2008,4,235.2,1.0,134.0,0.25,0.5697278911564626
Indonesia,2009,1,60.0,0.0,0.0,0.0,0.0
Indonesia,2010,2,2300.0,0.0,0.0,0.0,0.0
Indonesia,2011,2,161.0,1.0,35.0,0.5,0.21739130434782608
Indonesia,2012,13,4578.0,11.0,1916.0,0.8461538461538461,0.418523372651813
Indonesia,2013,5,2076.7,3.0,176.7,0.6,0.08508691674290943
Indonesia,2014,2,1690.5,2.0,1690.5,1.0,1.0
Indonesia,2015,2,210.0,2.0,210.0,1.0,1.0
Indonesia,2016,8,8734.8,1.0,210.8,0.125,0.024133351650867798
Indonesia,2017,12,15381.99,6.0,1319.7,0.5,0.08579514094080155
